0,1,experiment-log-rmcgan (2),experiment-log-rmcgan (4),experiment-log-rmcgan (5)
adv_step: 1760    ,0.722,0.7256,0.7216,0.7047
adv_step: 1780    ,0.7219,0.7262,0.7214,0.7045
adv_step: 1800    ,0.722,0.7272,0.721,0.7044
adv_step: 1820    ,0.7217,0.727,0.7208,0.7043
adv_step: 1840    ,0.7215,0.7265,0.7207,0.7043
adv_step: 1860    ,0.7216,0.7262,0.7205,0.7042
adv_step: 1880    ,0.7214,0.7261,0.7206,0.7042
adv_step: 1900    ,0.7214,0.7257,0.7206,0.7041
adv_step: 1920    ,0.7213,0.7254,0.7204,0.7039
adv_step: 1940    ,0.7213,0.7256,0.7203,0.7038
adv_step: 1960    ,0.7211,0.7254,0.7203,0.7037
adv_step: 1980    ,0.7211,0.7247,0.7204,0.7035
