epoch,Bleu4
0.0,0.3121570676459274
20.0,0.3178972995072912
40.0,0.3187894388922628
60.0,0.32331602415607014
80.0,0.3310274669617594
100.0,0.33102881761646696
120.0,0.3329350546457774
140.0,0.3355304466052528
160.0,0.3457203817595657
180.0,0.34529857436325206
200.0,0.34685173303732053
220.0,0.34525695301019493
240.0,0.34360708499163906
260.0,0.35274175931495527
280.0,0.35662625622816563
300.0,0.3611213617524505
320.0,0.359699403033891
340.0,0.3580025435135681
360.0,0.36201240851367383
380.0,0.3546476514671727
400.0,0.36309901934103533
420.0,0.36352333277829973
440.0,0.3620904771810895
460.0,0.36651932683343424
480.0,0.36727449643010057
500.0,0.3611113718615332
520.0,0.36139417561801285
540.0,0.36192589162238203
560.0,0.3626010234564407
580.0,0.35921146154330835
600.0,0.3627165496748538
620.0,0.3643208365909549
640.0,0.3639705289175592
660.0,0.36333117073565957
680.0,0.3658965782123569
700.0,0.3653732876562839
720.0,0.36232219448527053
740.0,0.36233751814533327
760.0,0.36152187080935716
780.0,0.36388014214024633
800.0,0.36449040019920975
820.0,0.3657544108577543
840.0,0.3604252808292268
860.0,0.3617893180667976
880.0,0.3613867387500333
900.0,0.3620060127502952
920.0,0.36498907137983294
940.0,0.35999747316512465
960.0,0.3536322914910114
980.0,0.3563334342020805
1000.0,0.35903009249705736
1020.0,0.3557382141155856
1040.0,0.3613528240971063
1060.0,0.36339146763171004
1080.0,0.35756559385746645
1100.0,0.3569015492576127
1120.0,0.3569123425670561
1140.0,0.3575957093983296
1160.0,0.3602192819152993
1180.0,0.35851532642283446
1200.0,0.3561906011863055
1220.0,0.3583366258101842
1240.0,0.3569959475683975
1260.0,0.35672642383778036
1280.0,0.3544967711205634
1300.0,0.3533042994031417
1320.0,0.3551409433750081
1340.0,0.35539577386500043
1360.0,0.35787066840564424
1380.0,0.35416444573374195
1400.0,0.35573774664425684
1420.0,0.3482786199355669
1440.0,0.348048183676984
1460.0,0.3538357408756608
1480.0,0.35097968352961817
1500.0,0.3500931586239357
1520.0,0.3494274943610837
1540.0,0.34469908865353854
1560.0,0.3497853190646018
1580.0,0.3523986804386317
1600.0,0.34929771971560064
1620.0,0.354150511310194
1640.0,0.3534043821531553
1660.0,0.34992767433927424
1680.0,0.35141531288515093
1700.0,0.3576719369327499
1720.0,0.3535280148940818
1740.0,0.34964817701026935
1760.0,0.3512170531400516
1780.0,0.35377193275453866
1800.0,0.3573146463036191
1820.0,0.3499095163207875
1840.0,0.35074842544675516
1860.0,0.3498372846266543
1880.0,0.35473240664673955
1900.0,0.3501649222610058
1920.0,0.35179456730140013
1940.0,0.3516563402545593
1960.0,0.35424300442381124
1980.0,0.3511588801874559
