adv_step: 600, nll_gen: 0.7316, bleu2: 0.7545, bleu3: 0.5262, bleu4: 0.3382, bleu5: 0.2113
adv_step: 620, nll_gen: 0.7317, bleu2: 0.7761, bleu3: 0.5600, bleu4: 0.3696, bleu5: 0.2328
adv_step: 640, nll_gen: 0.7319, bleu2: 0.7731, bleu3: 0.5488, bleu4: 0.3526, bleu5: 0.2199
adv_step: 660, nll_gen: 0.7317, bleu2: 0.7684, bleu3: 0.5432, bleu4: 0.3522, bleu5: 0.2220
adv_step: 680, nll_gen: 0.7314, bleu2: 0.7512, bleu3: 0.5328, bleu4: 0.3435, bleu5: 0.2128
adv_step: 700, nll_gen: 0.7311, bleu2: 0.7626, bleu3: 0.5434, bleu4: 0.3522, bleu5: 0.2165
adv_step: 720, nll_gen: 0.7311, bleu2: 0.7743, bleu3: 0.5567, bleu4: 0.3639, bleu5: 0.2219
adv_step: 740, nll_gen: 0.7310, bleu2: 0.7592, bleu3: 0.5340, bleu4: 0.3343, bleu5: 0.2064
adv_step: 760, nll_gen: 0.7307, bleu2: 0.7641, bleu3: 0.5385, bleu4: 0.3501, bleu5: 0.2208
adv_step: 780, nll_gen: 0.7304, bleu2: 0.7727, bleu3: 0.5582, bleu4: 0.3633, bleu5: 0.2301
adv_step: 800, nll_gen: 0.7302, bleu2: 0.7616, bleu3: 0.5345, bleu4: 0.3412, bleu5: 0.2130
adv_step: 820, nll_gen: 0.7298, bleu2: 0.7711, bleu3: 0.5511, bleu4: 0.3492, bleu5: 0.2173
adv_step: 840, nll_gen: 0.7295, bleu2: 0.7731, bleu3: 0.5550, bleu4: 0.3682, bleu5: 0.2432
adv_step: 860, nll_gen: 0.7294, bleu2: 0.7644, bleu3: 0.5494, bleu4: 0.3600, bleu5: 0.2303
adv_step: 880, nll_gen: 0.7291, bleu2: 0.7630, bleu3: 0.5386, bleu4: 0.3507, bleu5: 0.2268
adv_step: 900, nll_gen: 0.7287, bleu2: 0.7758, bleu3: 0.5521, bleu4: 0.3562, bleu5: 0.2193
adv_step: 920, nll_gen: 0.7283, bleu2: 0.7697, bleu3: 0.5423, bleu4: 0.3483, bleu5: 0.2229
adv_step: 940, nll_gen: 0.7279, bleu2: 0.7591, bleu3: 0.5254, bleu4: 0.3348, bleu5: 0.2187
adv_step: 960, nll_gen: 0.7276, bleu2: 0.7536, bleu3: 0.5377, bleu4: 0.3484, bleu5: 0.2192
adv_step: 980, nll_gen: 0.7273, bleu2: 0.7698, bleu3: 0.5521, bleu4: 0.3607, bleu5: 0.2248
adv_step: 1000, nll_gen: 0.7271, bleu2: 0.7624, bleu3: 0.5415, bleu4: 0.3319, bleu5: 0.2019
adv_step: 1020, nll_gen: 0.7271, bleu2: 0.7875, bleu3: 0.5786, bleu4: 0.3821, bleu5: 0.2412
adv_step: 1040, nll_gen: 0.7271, bleu2: 0.7603, bleu3: 0.5503, bleu4: 0.3548, bleu5: 0.2165
adv_step: 1060, nll_gen: 0.7269, bleu2: 0.7651, bleu3: 0.5552, bleu4: 0.3648, bleu5: 0.2275
adv_step: 1080, nll_gen: 0.7268, bleu2: 0.7721, bleu3: 0.5508, bleu4: 0.3685, bleu5: 0.2351
adv_step: 1100, nll_gen: 0.7268, bleu2: 0.7496, bleu3: 0.5106, bleu4: 0.3154, bleu5: 0.1979
adv_step: 1120, nll_gen: 0.7265, bleu2: 0.7727, bleu3: 0.5501, bleu4: 0.3510, bleu5: 0.2210
adv_step: 1140, nll_gen: 0.7261, bleu2: 0.7707, bleu3: 0.5571, bleu4: 0.3503, bleu5: 0.2184
