0,1,experiment-log-rmcgan (3),experiment-log-rmcgan (4),experiment-log-rmcgan (5),experiment-log-rmcgan (6),experiment-log-rmcgan (8)
adv_step: 1240    ,0.8106,0.7971,0.8003,0.8207,0.7772,0.8376
adv_step: 1260    ,0.8145,0.7998,0.8035,0.8245,0.7801,0.843
adv_step: 1280    ,0.8181,0.8028,0.8068,0.8286,0.783,0.8492
adv_step: 1300    ,0.822,0.8058,0.8103,0.8333,0.7859,0.8549
adv_step: 1320    ,0.8257,0.8093,0.8139,0.838,0.7892,0.86
adv_step: 1340    ,0.829,0.813,0.818,0.8431,0.7921,0.8652
adv_step: 1360    ,0.8331,0.8162,0.822,0.8476,0.7952,0.8703
adv_step: 1380    ,0.8384,0.8193,0.8262,0.8523,0.7985,0.8751
adv_step: 1400    ,0.8426,0.8226,0.8306,0.8579,0.8017,0.8807
adv_step: 1420    ,0.8475,0.8258,0.8354,0.8637,0.805,0.8857
adv_step: 1440    ,0.8531,0.8297,0.8397,0.8692,0.8085,0.8914
adv_step: 1460    ,0.859,0.8338,0.8443,0.8752,0.8119,0.8976
adv_step: 1480    ,0.8649,0.8372,0.8493,0.8808,0.8153,0.9035
adv_step: 1500    ,0.8708,0.8413,0.8539,0.8855,0.8187,0.9091
adv_step: 1520    ,0.8766,0.8452,0.8584,0.8901,0.822,0.9153
adv_step: 1540    ,0.8829,0.8492,0.863,0.8954,0.8253,0.9213
adv_step: 1560    ,0.8891,0.853,0.8682,0.9001,0.8289,0.9271
adv_step: 1580    ,0.8957,0.8569,0.874,0.9057,0.8325,0.9334
adv_step: 1600    ,0.901,0.861,0.8811,0.9097,0.8361,0.9397
adv_step: 1620    ,0.9077,0.8652,0.8867,0.9133,0.8398,0.9463
adv_step: 1640    ,0.914,0.8687,0.8934,0.918,0.8435,0.9523
adv_step: 1660    ,0.9208,0.8725,0.9004,0.9236,0.8473,0.9593
adv_step: 1680    ,0.927,0.8754,0.9081,0.9293,0.8509,0.9662
adv_step: 1700    ,0.9339,0.8788,0.9159,0.935,0.8544,0.9722
adv_step: 1720    ,0.941,0.8831,0.9231,0.9421,0.8579,0.9779
adv_step: 1740    ,0.9478,0.8874,0.93,0.9468,0.8622,0.9829
adv_step: 1760    ,0.9558,0.8899,0.9376,0.9524,0.8662,0.9879
adv_step: 1780    ,0.963,0.8938,0.9444,0.9575,0.8701,0.9924
adv_step: 1800    ,0.9706,0.8977,0.951,0.9632,0.8733,0.9989
adv_step: 1820    ,0.9774,0.901,0.9565,0.9687,0.8766,1.005
adv_step: 1840    ,0.9847,0.9048,0.9625,0.9745,0.8806,1.0116
adv_step: 1860    ,0.993,0.9086,0.9699,0.979,0.8849,1.0179
adv_step: 1880    ,1.0007,0.9126,0.9773,0.9832,0.8887,1.0231
adv_step: 1900    ,1.008,0.9161,0.983,0.9881,0.8923,1.0285
adv_step: 1920    ,1.0139,0.9198,0.9894,0.9928,0.8958,1.0334
adv_step: 1940    ,1.0215,0.9234,0.9961,0.9979,0.8991,1.0386
adv_step: 1960    ,1.0288,0.9262,1.0033,1.002,0.9023,1.045
adv_step: 1980    ,1.0367,0.9303,1.0108,1.0061,0.9061,1.0513
