epoch,Bleu3,bleus3_999999_na (7)
0.0,0.4993071510724124,0.4998360816745636
20.0,0.49640024744743705,0.5019630762056709
40.0,0.5024680749360224,0.5074297443487279
60.0,0.5056831660004811,0.5087899019252127
80.0,0.5073682082166653,0.5069898655218156
100.0,0.5054734257796561,0.513445896092094
120.0,0.5101848068206193,0.5120233025946808
140.0,0.508598790311113,0.5114669703547982
160.0,0.5084308596684649,0.5146728809158635
180.0,0.5100663470484319,0.5117093026262075
200.0,0.5156632618041516,0.5129349257584566
220.0,0.5127954440576895,0.5151682169547954
240.0,0.5183477550223226,0.5171295227447673
260.0,0.5116620867233576,0.5209598547655953
280.0,0.5209284937059383,0.519415004250163
300.0,0.5200306285638882,0.5167582899865762
320.0,0.5189625164212839,0.5201592193229931
340.0,0.5205969103623277,0.5196178389354936
360.0,0.5238287762528655,0.5206600751974267
380.0,0.5207237636810317,0.5242025054729412
400.0,0.5248979776310307,0.5239246712889933
420.0,0.5225891439973667,0.5241742928738549
440.0,0.5281218403114754,0.5270925082961955
460.0,0.5246048293811635,0.5247928259070279
480.0,0.5291063670127857,0.5247538643462084
500.0,0.525987989360272,0.5264966229354774
520.0,0.5280863898628705,0.5300044136488926
540.0,0.5335444235067065,0.5293567214032081
560.0,0.5294581122936142,0.5283713625712377
580.0,0.5305390711926694,0.5298495891230642
600.0,0.5288166318392947,0.5320149073951195
620.0,0.5318263957108089,0.5276476431862133
640.0,0.5369553686919725,0.5297478163286784
660.0,0.5395695725980516,0.5326843032944629
680.0,0.5390595544150276,0.5259554410967748
700.0,0.5361105272054615,0.5288480300673521
720.0,0.5401005459454845,0.5213645378940694
740.0,0.5332229636191003,0.5209936876298216
760.0,0.537448151723238,0.5204513438813185
780.0,0.5404275995950513,0.5144581808627245
800.0,0.5393854610383795,0.5149401739122462
820.0,0.5409000454212101,0.5140929177505418
840.0,0.5364115894580228,0.5098129756875004
860.0,0.5379394835317363,0.5036466495677594
880.0,0.536231137971024,0.5054511244437164
900.0,0.5363099909740621,0.4984619981572905
920.0,0.5345234771189324,0.4980672961555157
940.0,0.5402783983764249,0.4938486939320115
960.0,0.534451857565353,0.4937688046941001
980.0,0.5361492646774055,0.4837545156842018
1000.0,0.5333756777620519,0.4845439665113257
1020.0,0.5280592103014207,0.4793197790759659
1040.0,0.5294089329285456,0.4714766410660512
1060.0,0.5312593823894703,0.4642220726469858
1080.0,0.5318461863671827,0.4603753975729668
1100.0,0.5244601872141874,0.4592150166840412
1120.0,0.526021002059373,0.4498796224448108
1140.0,0.5251592474651191,0.44979599391043307
1160.0,0.5247105966331854,0.4397746920504586
1180.0,0.5206886744569823,0.4310691875520896
1200.0,0.52165431856017,0.4236814485600679
1220.0,0.5205690064747814,0.4166348340215121
1240.0,0.5215195037183853,0.4137037371891914
1260.0,0.5174339414422652,0.4052036730821989
1280.0,0.5146553411004312,0.39951621790555614
1300.0,0.5138695076051287,0.3907482035803483
1320.0,0.5117759558804752,0.3812794972715493
1340.0,0.5102656216354031,0.3708445188984649
1360.0,0.5070061478637289,0.3603278923790874
1380.0,0.5061175755609104,0.3546760839123713
1400.0,0.5043159563334062,0.3430269330353332
1420.0,0.5002675248216096,0.3328534334437693
1440.0,0.5000358486940595,0.3254468804264836
1460.0,0.5000474856949253,0.3161091471400373
1480.0,0.5015407258470677,0.309157719530315
1500.0,0.4874206921632474,0.2988280983170758
1520.0,0.4883885157250693,0.2952955300397153
1540.0,0.4883496150091651,0.2883479114610573
1560.0,0.4819678795372042,0.2843415457472939
1580.0,0.4866236395648846,0.2802995798193741
1600.0,0.478210000622378,0.275140173773996
1620.0,0.4762340039898207,0.27109261219491343
1640.0,0.4734075810647159,0.2677948267640235
1660.0,0.4641390839220104,0.2652222351100041
1680.0,0.4647358557811717,0.2608682985095057
1700.0,0.4588737342248457,0.26019716612083404
1720.0,0.4561113937214738,0.2554634215621453
1740.0,0.4489956466054542,0.2548824698387148
1760.0,0.4463893242452971,0.2518914583786384
1780.0,0.4410108727209768,0.24787106292505365
1800.0,0.4382881316681309,0.2437118777768257
1820.0,0.433277488904038,0.2422245235180644
1840.0,0.4293326146070119,0.2404041509315508
1860.0,0.4233870871213256,0.2385839892043979
1880.0,0.4155912312555803,0.2376937438830505
1900.0,0.4141042206966624,0.2357772274130157
1920.0,0.4053150991162972,0.23522740276814094
1940.0,0.4008873249381009,0.2319031987814448
1960.0,0.3994225057004893,0.23102919081128984
1980.0,0.3985932173425929,0.23179396196927224
