epoch,Bleu5,bleus5_accurate (2),bleus5_accurate (3),bleus5_accurate (4)
0.0,0.1187697458174456,0.12581686362522784,0.11929684153000987,0.11182016011123136
20.0,0.12197350149659715,0.13446724353565967,0.11970314107225535,0.12606015838392612
40.0,0.1259983428133895,0.13003563776941132,0.12029678509453995,0.12277423105086804
60.0,0.12216472503190655,0.11388911508460713,0.11487878473128077,0.11051422988909944
80.0,0.12858148085975524,0.11863993762789594,0.1080185171871555,0.13374564689380353
100.0,0.11620548492758498,0.11943184593898362,0.10201077975281254,0.12655459481678336
120.0,0.1139027247416093,0.13335079862123267,0.09965632755323417,0.11853981594323865
140.0,0.10428946913011868,0.11554266977376293,0.10059306109634604,0.1056868977293266
160.0,0.1005723366000537,0.11282155147672558,0.10671941144211858,0.1115983052595338
180.0,0.09812782668045257,0.11636123440841553,0.10129586727968233,0.11161348634211876
200.0,0.10275455850799976,0.11454191923308213,0.09814330420475187,0.10337347525466238
220.0,0.11263061643950395,0.11926265490229028,0.09847661660610943,0.09712054543087366
240.0,0.10772474863281203,0.11768415558177715,0.09228352688767368,0.0972980166072862
260.0,0.10584768615032132,0.12957592808730134,0.1013622518235545,0.09438396610356888
280.0,0.10229055175481937,0.1069327968689113,0.12513131108752104,0.08727271892338849
300.0,0.09455880625156833,0.1047373856447891,0.148224453647592,0.09400772741021984
320.0,0.09163319166545204,0.10515818664110012,0.10604255160058583,0.09895253608822707
340.0,0.10304452592791828,0.09989505120715952,0.10330815376944168,0.11058741396023326
360.0,0.1116458314504606,0.10653269783748824,0.09711717618567924,0.10208238355729456
380.0,0.0994536085915294,0.10209892898635936,0.097551058841463,0.1354828840562548
400.0,0.09487010810097883,0.09718469294180693,0.10059598267117527,0.09567574717102124
420.0,0.1079712427702986,0.09149947412220064,0.10998709093104908,0.0836920365785204
440.0,0.11083488543812263,0.08889713863166604,0.11890311677722035,0.114302055607202
460.0,0.09213505633040207,0.09790505232361182,0.09605813163849926,0.1143071020664682
480.0,0.09693693406750092,0.09333193867416276,0.09705604749663578,0.09775802667693416
500.0,0.0986963195558143,0.09726139808522767,0.10228600382034904,0.09804147395821812
520.0,0.09150498425647413,0.09460953052656892,0.1019820261148226,0.0955608559754184
540.0,0.08971912416148027,0.09171016031198476,0.09525419624326756,0.08105319445048895
560.0,0.08984108999665626,0.08573342658017216,0.0898828026230316,0.08179319400699406
580.0,0.09069348861425564,0.08621176865456749,0.0954842984234229,0.08581357820888605
600.0,0.08509592963571935,0.08365442224990416,0.1020633161826328,0.08215419999542338
620.0,0.08985061111056136,0.08073304232124204,0.09611398812096524,0.08267160667031764
640.0,0.09627258958577932,0.09567451645898613,0.08229718424662835,0.07290689527677079
660.0,0.09603750708765044,0.09565657250974807,0.08206914017964616,0.07743579772208252
680.0,0.09540964765035724,0.08670979439878126,0.07723850428554822,0.07862425771281037
700.0,0.09246270229687877,0.09798940426193316,0.08611745302261717,0.08468832407913901
720.0,0.0945833573250479,0.12241313277802947,0.08141310409105648,0.0875878523035405
740.0,0.0993418637164369,0.11190244886169692,0.09362993224715087,0.08360099602113391
760.0,0.11402990599321808,0.0952209914496118,0.08577706461161927,0.07832442222153142
780.0,0.10257901121321727,0.08751862253493667,0.08107883548214767,0.07547101363109829
800.0,0.09201448676560413,0.07545449534056617,0.08248464214259794,0.09178459107853057
820.0,0.08623843427856176,0.07875414844580708,0.08085747945174215,0.08372728450573562
840.0,0.08604896267894431,0.07950809665285279,0.08668747721479961,0.083468897538402
860.0,0.09546010237057094,0.07805693582348963,0.09649826252862878,0.08701306395740256
880.0,0.09985365613795552,0.0824992928270545,0.08409747415852739,0.09495080347380748
900.0,0.10937503927205487,0.08218245478974202,0.0876640086193353,0.08860035965547426
920.0,0.1290140540788022,0.07836468272442025,0.09402040405087357,0.08463003535259912
940.0,0.12716761643096705,0.06943423511915707,0.09364173330032123,0.08154454316499937
,,,0.0933402052736224,0.07835194622680132
,,,0.10203783157029164,0.0754260748459807
,,,0.1114484402847203,0.06660865834800811
