epoch, nll_gen, bleu2, bleu3, bleu4, bleu5
0,1.5332,0.4034,0.1528,0.082,0.0594
10,0.9652,0.7173,0.4749,0.2778,0.1659
20,0.8429,0.7371,0.4949,0.3074,0.1931
30,0.8039,0.7263,0.4898,0.2989,0.1821
40,0.7794,0.7315,0.497,0.2998,0.1859
50,0.7616,0.727,0.5002,0.3135,0.1986
60,0.7489,0.7439,0.5202,0.3258,0.2061
70,0.7422,0.7496,0.5158,0.3259,0.2114
80,0.7382,0.7323,0.505,0.3114,0.1934
90,0.7388,0.7512,0.518,0.3309,0.2011
100,0.7352,0.7069,0.4772,0.2892,0.1822
110,0.7289,0.7535,0.5339,0.3409,0.214
120,0.7251,0.7263,0.4861,0.2874,0.1737
130,0.7263,0.7316,0.4909,0.2998,0.1821
140,0.7148,0.7139,0.4624,0.2756,0.1704
0,0.7158,0.7452,0.5221,0.3262,0.202
20,0.7148,0.7563,0.5476,0.3577,0.2263
40,0.714,0.7291,0.4851,0.3045,0.1924
60,0.7139,0.7369,0.5001,0.3137,0.1925
80,0.7141,0.7406,0.5152,0.3176,0.1926
100,0.7145,0.7654,0.5466,0.3395,0.2132
120,0.715,0.7387,0.502,0.3106,0.1974
140,0.7156,0.7524,0.5326,0.3443,0.2179
160,0.7162,0.7768,0.5462,0.343,0.2162
180,0.7168,0.7487,0.525,0.3276,0.203
200,0.7175,0.7614,0.5523,0.3567,0.2276
220,0.7183,0.7703,0.5564,0.3675,0.2328
240,0.7192,0.7569,0.5415,0.3469,0.2244
260,0.7201,0.7532,0.5357,0.3518,0.2309
280,0.7208,0.7622,0.54,0.3493,0.22
300,0.7215,0.772,0.5665,0.378,0.2413
320,0.7222,0.78,0.5711,0.375,0.2375
340,0.7228,0.7738,0.5589,0.3677,0.2374
360,0.7234,0.7687,0.544,0.3537,0.2301
380,0.724,0.7462,0.5265,0.3408,0.2039
400,0.7244,0.7745,0.563,0.3542,0.2195
420,0.7247,0.7643,0.5491,0.3606,0.2316
440,0.7252,0.7663,0.541,0.3427,0.2189
460,0.7257,0.7578,0.5483,0.3526,0.2262
480,0.7261,0.7773,0.5666,0.3716,0.2357
500,0.7261,0.7805,0.5803,0.3851,0.2501
520,0.7259,0.7626,0.5539,0.3564,0.2215
540,0.7258,0.7758,0.5668,0.3699,0.2368
560,0.7258,0.765,0.5509,0.3559,0.2267
580,0.7257,0.7793,0.5522,0.353,0.2204
600,0.7258,0.7782,0.5627,0.3763,0.2394
620,0.7259,0.7864,0.5807,0.3911,0.2561
640,0.726,0.7682,0.5546,0.3643,0.2322
660,0.7261,0.7563,0.5323,0.3338,0.2054
680,0.7259,0.7779,0.5728,0.3778,0.2455
700,0.7256,0.7822,0.5662,0.3682,0.2363
720,0.7252,0.7663,0.5494,0.3487,0.2209
740,0.7248,0.762,0.5471,0.3572,0.2343
760,0.7245,0.7675,0.5394,0.3283,0.203
780,0.724,0.7712,0.5577,0.3693,0.2346
800,0.7238,0.7747,0.5578,0.3528,0.2265
820,0.7235,0.774,0.5771,0.377,0.2378
840,0.7231,0.7666,0.5496,0.3693,0.2368
860,0.7226,0.768,0.5497,0.3533,0.2286
880,0.7222,0.7755,0.5556,0.3568,0.2241
900,0.722,0.7629,0.5522,0.3576,0.2222
920,0.7218,0.7814,0.5661,0.3765,0.2438
940,0.7214,0.7414,0.5074,0.3173,0.2047
960,0.7212,0.76,0.5427,0.3494,0.2207
