epoch, nll_gen, bleu2, bleu3, bleu4, bleu5
0,1.5874,0.3996,0.1417,0.0802,0.0603
10,0.9677,0.7131,0.4583,0.2644,0.1612
20,0.8467,0.7233,0.4876,0.3083,0.1946
30,0.8015,0.7175,0.4879,0.2977,0.1848
40,0.7787,0.7543,0.5216,0.3275,0.1974
50,0.7635,0.7272,0.4918,0.3049,0.1892
60,0.7543,0.7399,0.5117,0.3252,0.2038
70,0.7442,0.7517,0.5297,0.3428,0.2233
80,0.739,0.7367,0.4932,0.3054,0.1903
90,0.7347,0.7472,0.5252,0.3308,0.1996
100,0.7308,0.7535,0.5351,0.3368,0.2162
110,0.7295,0.733,0.5017,0.3128,0.1946
120,0.7293,0.7427,0.5216,0.3221,0.1946
130,0.7354,0.7271,0.4915,0.2923,0.1846
140,0.7365,0.7347,0.5232,0.3285,0.2012
0,0.7376,0.7256,0.4997,0.3235,0.2096
20,0.7359,0.7309,0.4923,0.315,0.2029
40,0.7345,0.7508,0.519,0.3251,0.2036
60,0.7335,0.7559,0.5194,0.3251,0.205
80,0.7333,0.7337,0.5196,0.3277,0.2077
100,0.7332,0.7518,0.5294,0.3264,0.2065
120,0.7334,0.7633,0.5469,0.3575,0.2211
140,0.7337,0.7428,0.5106,0.3206,0.2014
160,0.7338,0.7568,0.5332,0.3316,0.2069
180,0.7342,0.7592,0.5383,0.3428,0.2224
200,0.7346,0.7601,0.5358,0.3459,0.2141
220,0.7349,0.748,0.5265,0.3342,0.2112
240,0.7353,0.7465,0.5261,0.3334,0.2082
260,0.7361,0.7514,0.5346,0.3386,0.2098
280,0.7369,0.7687,0.5491,0.354,0.221
300,0.7373,0.7727,0.5694,0.3781,0.2458
320,0.7381,0.7759,0.5592,0.3633,0.2321
340,0.7387,0.745,0.5263,0.3304,0.2032
360,0.7393,0.7639,0.5612,0.3681,0.2338
380,0.7399,0.7657,0.5334,0.3384,0.2156
400,0.7401,0.7845,0.5812,0.3833,0.2454
420,0.7402,0.775,0.5659,0.3743,0.2436
440,0.7403,0.7715,0.5535,0.3607,0.2268
460,0.7403,0.7714,0.5474,0.3483,0.2152
480,0.7402,0.7667,0.5509,0.3535,0.2172
500,0.7402,0.7687,0.5461,0.3611,0.2223
520,0.7403,0.784,0.575,0.3884,0.2443
540,0.7405,0.7842,0.5686,0.3764,0.2379
560,0.7405,0.7782,0.5494,0.348,0.2215
580,0.7407,0.7617,0.5553,0.36,0.2278
600,0.7405,0.7701,0.5581,0.3618,0.2328
620,0.7403,0.7625,0.5419,0.3515,0.2257
640,0.74,0.7922,0.5843,0.3887,0.2498
660,0.7395,0.768,0.5497,0.3659,0.235
680,0.7394,0.7571,0.5357,0.343,0.219
700,0.7391,0.7721,0.5607,0.3753,0.2392
720,0.7389,0.7688,0.5414,0.3454,0.2228
740,0.7384,0.7731,0.5617,0.361,0.2236
760,0.7379,0.7838,0.5711,0.3658,0.226
780,0.7374,0.7868,0.5801,0.392,0.2537
800,0.7369,0.7662,0.5528,0.3551,0.2262
820,0.7366,0.7687,0.5645,0.3822,0.2462
840,0.7364,0.7754,0.5585,0.3648,0.2311
860,0.736,0.7706,0.5574,0.361,0.2238
880,0.7359,0.7849,0.5658,0.3688,0.2416
900,0.7354,0.7809,0.5809,0.387,0.241
920,0.7349,0.7702,0.5503,0.3464,0.2161
940,0.7346,0.7561,0.525,0.3273,0.203
960,0.7339,0.7685,0.5434,0.3522,0.2325
980,0.7332,0.7868,0.5711,0.3715,0.2394
1000,0.7326,0.7822,0.5707,0.3773,0.2383
1020,0.7322,0.7549,0.5334,0.3455,0.2187
1040,0.7318,0.7645,0.5434,0.3516,0.2279
1060,0.7315,0.7498,0.5351,0.3398,0.2213
1080,0.7311,0.7534,0.5164,0.3288,0.2093
1100,0.7307,0.7604,0.5343,0.3486,0.2187
1120,0.73,0.7452,0.5201,0.3392,0.2169
1140,0.7296,0.7658,0.5616,0.3647,0.2307
1160,0.7291,0.7665,0.5577,0.3564,0.224
1180,0.729,0.7782,0.5655,0.367,0.2338
1200,0.7288,0.7564,0.5194,0.3356,0.2209
1220,0.7285,0.7693,0.5463,0.3483,0.223
1240,0.728,0.7677,0.5555,0.3666,0.2281
1260,0.7278,0.7541,0.5251,0.3312,0.2091
1280,0.7276,0.7766,0.5541,0.368,0.237
1300,0.7276,0.7399,0.5188,0.3334,0.204
1320,0.7275,0.7748,0.5502,0.351,0.2268
1340,0.7274,0.7546,0.5279,0.3337,0.2084
1360,0.7274,0.7782,0.5706,0.3764,0.2382
1380,0.7274,0.7424,0.5175,0.333,0.2105
1400,0.7272,0.7692,0.5479,0.3566,0.2245
1420,0.7271,0.7497,0.5315,0.3396,0.2189
1440,0.7268,0.7547,0.5402,0.3574,0.2327
1460,0.727,0.7442,0.5288,0.3414,0.2151
1480,0.727,0.7586,0.5391,0.3591,0.2379
1500,0.7269,0.755,0.5189,0.3267,0.2125
1520,0.7269,0.7582,0.5276,0.3359,0.2152
1540,0.7268,0.7596,0.5414,0.3557,0.2194
1560,0.7268,0.7755,0.5606,0.3706,0.2439
1580,0.7268,0.7512,0.5222,0.3385,0.2154
1600,0.7268,0.7661,0.5501,0.3634,0.2345
1620,0.727,0.7761,0.5496,0.3581,0.2377
1640,0.7269,0.7545,0.5314,0.3444,0.2251
1660,0.7267,0.7554,0.5313,0.3375,0.2117
1680,0.7263,0.757,0.5287,0.3406,0.2231
1700,0.7261,0.7681,0.5496,0.3629,0.2299
1720,0.7261,0.7639,0.5285,0.3489,0.2273
1740,0.7263,0.7518,0.5237,0.3371,0.2105
1760,0.7261,0.7522,0.5216,0.3332,0.212
1780,0.7261,0.7719,0.5466,0.3569,0.2227
1800,0.7263,0.7836,0.5641,0.3619,0.2341
1820,0.7263,0.7704,0.545,0.3573,0.2304
1840,0.7263,0.7491,0.5187,0.3305,0.2147
1860,0.7265,0.7676,0.5457,0.3563,0.23
1880,0.7265,0.759,0.53,0.3288,0.207
1900,0.7263,0.766,0.5438,0.354,0.2275
1920,0.7263,0.7785,0.5717,0.3808,0.2432
1940,0.7262,0.7686,0.5582,0.3616,0.2248
1960,0.7264,0.7613,0.5505,0.3597,0.2265
1980,0.7266,0.7566,0.5287,0.3395,0.2117
