epoch, nll_gen, bleu2, bleu3, bleu4, bleu5
0,1.5405,0.4552,0.1678,0.0905,0.064
10,0.9588,0.7147,0.4709,0.2809,0.1738
20,0.8369,0.7349,0.499,0.3052,0.1862
30,0.7879,0.7431,0.5093,0.3087,0.1907
40,0.768,0.7592,0.528,0.3196,0.198
50,0.7507,0.7225,0.4973,0.3121,0.1916
60,0.7419,0.728,0.488,0.319,0.2026
70,0.7312,0.7362,0.5157,0.3286,0.2079
80,0.7279,0.7397,0.5009,0.3179,0.2012
90,0.7261,0.7352,0.506,0.3167,0.1967
100,0.7169,0.7252,0.4852,0.2995,0.1875
110,0.7167,0.732,0.5144,0.3327,0.2094
120,0.7189,0.7258,0.493,0.3145,0.1998
130,0.7096,0.7384,0.5003,0.3087,0.191
140,0.7079,0.7494,0.527,0.3301,0.2033
0,0.7056,0.7229,0.4865,0.3007,0.1918
20,0.7045,0.7276,0.5017,0.3129,0.1968
40,0.7037,0.7438,0.5148,0.3192,0.1987
60,0.7036,0.7506,0.5243,0.3258,0.2048
80,0.7036,0.7641,0.552,0.3521,0.2266
100,0.7038,0.737,0.5127,0.3211,0.1941
120,0.7038,0.762,0.5442,0.3496,0.2235
140,0.7041,0.7598,0.5354,0.341,0.2178
160,0.7043,0.7705,0.5437,0.3514,0.221
180,0.7047,0.7558,0.539,0.3411,0.2153
200,0.7051,0.7556,0.5323,0.3388,0.2089
220,0.7056,0.776,0.5654,0.3619,0.2284
240,0.706,0.7499,0.5381,0.3578,0.2284
260,0.7065,0.7567,0.535,0.3468,0.2195
280,0.7071,0.7592,0.5339,0.3493,0.2178
300,0.7076,0.777,0.5624,0.3589,0.2189
320,0.7082,0.765,0.5546,0.3541,0.2213
340,0.709,0.7916,0.593,0.3939,0.2463
360,0.7095,0.7621,0.5353,0.3528,0.2226
380,0.71,0.7656,0.5388,0.3523,0.2292
400,0.7104,0.7713,0.556,0.3599,0.221
420,0.7108,0.7659,0.5436,0.3512,0.2232
440,0.711,0.7539,0.5343,0.3401,0.2122
460,0.7114,0.7636,0.5411,0.3587,0.226
480,0.7117,0.7571,0.5507,0.3666,0.2295
500,0.7118,0.759,0.5318,0.3466,0.2191
520,0.712,0.7765,0.56,0.372,0.2367
540,0.7122,0.7719,0.5542,0.3527,0.214
560,0.7123,0.7614,0.5273,0.3362,0.2094
580,0.7124,0.7639,0.5473,0.3548,0.22
600,0.7123,0.77,0.5629,0.3663,0.2276
620,0.7123,0.7581,0.5442,0.361,0.2326
