adv_step: 600, nll_gen: 0.7424, bleu2: 0.7798, bleu3: 0.5582, bleu4: 0.3619, bleu5: 0.2265
adv_step: 620, nll_gen: 0.7425, bleu2: 0.7747, bleu3: 0.5533, bleu4: 0.3603, bleu5: 0.2266
adv_step: 640, nll_gen: 0.7425, bleu2: 0.7922, bleu3: 0.5852, bleu4: 0.3886, bleu5: 0.2452
adv_step: 660, nll_gen: 0.7426, bleu2: 0.7974, bleu3: 0.5883, bleu4: 0.3810, bleu5: 0.2458
adv_step: 680, nll_gen: 0.7425, bleu2: 0.7705, bleu3: 0.5589, bleu4: 0.3647, bleu5: 0.2271
adv_step: 700, nll_gen: 0.7422, bleu2: 0.7559, bleu3: 0.5293, bleu4: 0.3294, bleu5: 0.2096
adv_step: 720, nll_gen: 0.7420, bleu2: 0.7744, bleu3: 0.5575, bleu4: 0.3552, bleu5: 0.2262
adv_step: 740, nll_gen: 0.7421, bleu2: 0.7933, bleu3: 0.5839, bleu4: 0.3716, bleu5: 0.2329
adv_step: 760, nll_gen: 0.7420, bleu2: 0.7852, bleu3: 0.5711, bleu4: 0.3612, bleu5: 0.2207
adv_step: 780, nll_gen: 0.7419, bleu2: 0.7820, bleu3: 0.5719, bleu4: 0.3722, bleu5: 0.2357
adv_step: 800, nll_gen: 0.7416, bleu2: 0.7819, bleu3: 0.5751, bleu4: 0.3912, bleu5: 0.2564
adv_step: 820, nll_gen: 0.7415, bleu2: 0.7729, bleu3: 0.5620, bleu4: 0.3605, bleu5: 0.2297
adv_step: 840, nll_gen: 0.7414, bleu2: 0.7766, bleu3: 0.5458, bleu4: 0.3497, bleu5: 0.2245
adv_step: 860, nll_gen: 0.7409, bleu2: 0.7689, bleu3: 0.5428, bleu4: 0.3478, bleu5: 0.2262
adv_step: 880, nll_gen: 0.7406, bleu2: 0.7718, bleu3: 0.5477, bleu4: 0.3540, bleu5: 0.2299
adv_step: 900, nll_gen: 0.7403, bleu2: 0.7790, bleu3: 0.5612, bleu4: 0.3662, bleu5: 0.2281
adv_step: 920, nll_gen: 0.7401, bleu2: 0.7540, bleu3: 0.5323, bleu4: 0.3428, bleu5: 0.2165
adv_step: 940, nll_gen: 0.7397, bleu2: 0.7640, bleu3: 0.5398, bleu4: 0.3477, bleu5: 0.2241
adv_step: 960, nll_gen: 0.7390, bleu2: 0.7493, bleu3: 0.5168, bleu4: 0.3267, bleu5: 0.2132
