epoch,Bleu4,bleus4_999999_na (3),bleus4_999999_na (4),bleus4_999999_na (5),bleus4_999999_na (6),bleus4_999999_na (8)
0.0,0.3155421399101125,0.30712007059068125,0.3264599768742169,0.3120496221978592,0.3171132493596181,0.3093370923802841
20.0,0.31837218477941404,0.3108822783759266,0.32663534402267963,0.3132169581288552,0.3224079190208797,0.3134058099519393
40.0,0.32309196039757937,0.3114796246728728,0.3311198163583137,0.31589692570637257,0.3175438890871021,0.31688177607713
60.0,0.3196562436716853,0.3100860866259076,0.3326063514189113,0.3165631749370856,0.31775531791865097,0.3159980865312515
80.0,0.3257108945230454,0.3174712811376537,0.3314281936427772,0.32187482228910663,0.3224305220717481,0.31917796130189663
100.0,0.3239337881079796,0.31707481416294786,0.33569082756973456,0.3246008228553888,0.32684941627905084,0.3168476661784773
120.0,0.3273141905846235,0.3173339816772483,0.3346840480684053,0.3248036322680958,0.3266387603392831,0.3213836470806013
140.0,0.3274512271192521,0.3188397514820204,0.33629536853781594,0.32478903814911364,0.3271305460535133,0.3251610526658755
160.0,0.3308423279936311,0.3192526954609235,0.33475326632539143,0.32688259400083336,0.3308113318534089,0.32469567212918804
180.0,0.3316200846673149,0.3168726389665431,0.3370753487466417,0.3293365018802568,0.3323337752806393,0.32255009399453954
200.0,0.3320915099366805,0.3252842070567037,0.340894738689617,0.3307555666835611,0.329644560754701,0.32501322880276057
220.0,0.33230541899343435,0.32606011710169197,0.3386977498687884,0.3298353706292974,0.3316618143879223,0.3331934843212557
240.0,0.3354124972726639,0.32572200860916883,0.3422473350487697,0.3350734353070133,0.3376882710219741,0.3349615973451585
260.0,0.3379259091514041,0.326122198582193,0.3412783512413174,0.33717567387769865,0.3321094791595884,0.33285645212958304
280.0,0.3366280600669463,0.3281327234259172,0.3427133255143689,0.3347711301538593,0.3388351044803438,0.33374886068180953
300.0,0.3386655188444435,0.3252313414592775,0.3438536692138681,0.3344682835044476,0.3388880428996096,0.3367599627881967
320.0,0.3416570244243605,0.323647911667091,0.3481441024349416,0.3404880914181925,0.3368077341742746,0.3376397930295041
340.0,0.3421579720578429,0.3280927765018421,0.3477810924831476,0.34029388864441873,0.3365121916547384,0.3382853026215755
360.0,0.3432242633182469,0.3315385847594157,0.3440920564423021,0.34822202371635713,0.3400449744258288,0.3397714565883462
380.0,0.3401335571748374,0.3320863048201094,0.3520007413391489,0.34549063948085273,0.34109997756707433,0.3391839576791259
400.0,0.3427966256438616,0.3341254623091192,0.3467955674370909,0.34231963713582897,0.3430966519897042,0.3402086614899904
420.0,0.3464955205548044,0.3324148347392373,0.35320712938202903,0.3483184960103794,0.34221454945635904,0.3388705679088762
440.0,0.34772072481277416,0.3316058660883562,0.3530140898848439,0.35005486106108685,0.34633284870429204,0.34370381005590195
460.0,0.34851904593468663,0.33613327291108674,0.3537350425210637,0.3476705587555355,0.3514589202310759,0.34610182428771435
480.0,0.35149572711114624,0.33598948262392797,0.3560014934780118,0.3568747343572893,0.3505848385789564,0.3463223926791877
500.0,0.35431641656040685,0.34232681098769024,0.358548209291704,0.3536128609964808,0.3501900423857647,0.3497879765159993
520.0,0.35107613958109823,0.3410593830059717,0.35973801290592394,0.3524297339221883,0.35487834096704124,0.35129456176765395
540.0,0.3549198624350903,0.34070411367467823,0.3604257629034968,0.3543256691676335,0.3530477612962009,0.35696797093520044
560.0,0.3569264182455695,0.33797670415243924,0.3639872305349463,0.35928365753312874,0.3571521161767111,0.35311082350246525
