epoch,Bleu2
0.0,0.7480418475847438
20.0,0.7495027940447683
40.0,0.7562438327134029
60.0,0.7609141502985062
80.0,0.7643230453621987
100.0,0.7678617124723622
120.0,0.7717013155908904
140.0,0.7741171656515435
160.0,0.7770548438824552
180.0,0.7795012821964269
200.0,0.7772136502122302
220.0,0.7797955667606227
240.0,0.78140853021425
260.0,0.7784859915974953
280.0,0.7772217429015905
300.0,0.775747161504153
320.0,0.7746121259023646
340.0,0.7710512866503721
360.0,0.7689365036001207
380.0,0.7650668695433618
400.0,0.7605899288776414
420.0,0.756745562335568
440.0,0.7490885224783126
460.0,0.7428729039822429
480.0,0.7386137155310145
500.0,0.7358660432777131
520.0,0.7284221793854618
540.0,0.7285569833511991
560.0,0.7241199700370853
580.0,0.7220568656415632
600.0,0.7205696923281971
620.0,0.7195143460980855
640.0,0.7218276268233824
660.0,0.7191052916706939
680.0,0.7218465485835173
700.0,0.7191165257357943
720.0,0.7239883317666157
740.0,0.7224874847265377
760.0,0.7233701161323268
780.0,0.7244777459454053
800.0,0.7268570528997661
820.0,0.726973481980283
840.0,0.7284579924767095
860.0,0.7365003966922099
880.0,0.7361261536368465
900.0,0.7384729109079805
920.0,0.7417319608021042
940.0,0.744723682875258
960.0,0.7500527327308559
980.0,0.7468034066744976
1000.0,0.7505079214052974
1020.0,0.7534571021301256
1040.0,0.7558075775269972
1060.0,0.7577957647796952
1080.0,0.7561883165731458
1100.0,0.7610159723889875
1120.0,0.759344695505468
1140.0,0.7609152096679439
1160.0,0.7661577695149313
1180.0,0.7652630885711916
1200.0,0.7658329459793772
1220.0,0.7641017789840069
1240.0,0.7664280608312277
1260.0,0.7647977239450789
1280.0,0.7643444725324081
1300.0,0.7657400850801077
1320.0,0.7658901964759864
1340.0,0.7665898842622509
1360.0,0.7679871702269926
1380.0,0.7647218091796728
1400.0,0.766876864553459
1420.0,0.7666196741416645
1440.0,0.7685798738314356
1460.0,0.7700676074845738
1480.0,0.7689622948560342
1500.0,0.7709536450609503
1520.0,0.7701966612289475
1540.0,0.7697596969051093
1560.0,0.7699357358433807
1580.0,0.7718513329351319
1600.0,0.7721239875978951
1620.0,0.7695562282133364
1640.0,0.767186569801495
1660.0,0.7686440930961919
1680.0,0.7690885966315106
1700.0,0.7690934921434182
1720.0,0.7665844981145568
1740.0,0.7685974407245774
1760.0,0.7684403502875423
1780.0,0.7699422025228483
1800.0,0.7667926238177761
1820.0,0.7701744864391146
1840.0,0.7686000903323477
1860.0,0.7661769383486982
1880.0,0.7652488407379537
1900.0,0.7656750016168363
1920.0,0.7658027629937367
1940.0,0.763609159050173
1960.0,0.7669445419515172
1980.0,0.7659595318745588
