epoch,Bleu5,bleus5_999999_na (2),bleus5_999999_na (3),bleus5_999999_na (4)
0.0,0.11267825638834016,0.11554838986557855,0.11929644536379752,0.1164715487333532
20.0,0.11326605452235515,0.11750415422373045,0.1205065084367126,0.1184381664443772
40.0,0.11612803706994597,0.1195831865900501,0.121191466547573,0.1186553783374604
60.0,0.11762869489856978,0.11978661574481222,0.12514633236340847,0.12221291283907505
80.0,0.11845282133093107,0.12299979110183296,0.12546592281302282,0.12197335637843293
100.0,0.12169591435593745,0.12555335994880554,0.12929069201815255,0.12551810130638744
120.0,0.12554212504658585,0.1271725184677799,0.1315354461845827,0.12731244361413555
140.0,0.12629767337596506,0.12947189325938785,0.13346006044867198,0.1306561806735134
160.0,0.12860135055928865,0.13132632138573214,0.13576921379292733,0.13225478193715187
180.0,0.13151697244998156,0.13280684741576354,0.13819338858545796,0.13454466084127026
200.0,0.13278172308839906,0.1348024182138942,0.13806745299810538,0.13554154350848746
220.0,0.13545663865439847,0.1367088168983771,0.1424797597864816,0.13729335787480218
240.0,0.13778581644353674,0.1392800802084013,0.14223546135997345,0.13912646547187849
260.0,0.13958002035489864,0.1400014949218281,0.14447826458692614,0.1413737615593012
280.0,0.1405547987828313,0.14062725616721786,0.14430927581722458,0.13965961743814126
300.0,0.1384413678807586,0.14109523473539662,0.14595021388891385,0.14135623774800707
320.0,0.14254118748462646,0.14032122812930511,0.1476809616322872,0.13960081505281607
340.0,0.14317548533389368,0.14061067833753602,0.14646104048078207,0.13995194089560806
360.0,0.1419859890108222,0.14217564421497944,0.14825669374500525,0.13932440940627105
380.0,0.14233050838186995,0.14210862017132267,0.14881773541812185,0.14155863958507872
400.0,0.14298909834292742,0.14188255280509274,0.14772005157614032,0.14071317672843114
420.0,0.14252529031440267,0.14147621267356375,0.14931141350829408,0.1400517914977042
440.0,0.14160520833939402,0.14234586740275446,0.14645741284081476,0.1418242859325355
460.0,0.14114887845634455,0.14110939003684864,0.14587558993772626,0.14036440095967545
480.0,0.14264077751856286,0.1415966249220039,0.1472228346798622,0.14172699038976974
500.0,0.14150964388174164,0.14093974633197162,0.14662769513888502,0.1405331886387595
520.0,0.14164485863191856,0.14258214223294194,0.1445070548638376,0.14035362005928026
540.0,0.14110796853631255,0.1409517336023198,0.14492266390733388,0.14106872081717434
560.0,0.1402936162664089,0.1400569817363837,0.14397275709429375,0.14140190644436032
580.0,0.13930751994710633,0.14265755695215654,0.1452186208280405,0.1410197806699782
600.0,0.13930395437443588,0.14128110563447266,0.14432955079088391,0.140322400736693
620.0,0.14069483539870264,0.14219360997680924,0.14437041269822504,0.13974432493085562
640.0,0.13850501694931688,0.14034717572496822,0.14456263341536293,0.13871708550953235
660.0,0.13919637584678524,0.14086040913305972,0.14432740936010865,0.1376619943562187
680.0,0.14057836937076665,0.14098588795768174,0.14540332695279248,0.13948814557431038
700.0,0.13783091038630568,0.1396390062722833,0.14401465321668047,0.13754835269641508
720.0,0.1359602064581457,0.14131256715836374,0.14467208849357968,0.1386248826254229
740.0,0.1363080646730183,0.14007620948299687,0.14482426334012385,0.13679501007559774
760.0,0.1364383385965501,0.14117176758597447,0.1424543059069343,0.1366376636463064
780.0,0.137116664304244,0.14350899024066724,0.14379287697451187,0.13836616183211475
800.0,0.13600487874865633,0.14209652294934574,0.14240891430012936,0.13894366826709814
820.0,0.1351949582181846,0.1433322439986642,0.1436838859427109,0.1358125899029287
840.0,0.13371680566685853,0.14410802241252232,0.14408418626770092,0.13690791525000134
860.0,0.13348308703914172,0.14392188444483786,0.1447386655998395,0.13685911192187353
880.0,0.13533499441063082,0.14346521139298604,0.14460598412234427,0.13677177396188575
900.0,0.13565822145189255,0.14241878994900342,0.14301109286420333,0.13891197998863386
920.0,0.13580596677450452,0.14221002732480026,0.14315520052436426,0.1376702883380443
940.0,0.13706004216867154,0.1419784246159694,0.14392182839062925,0.13603482752707333
960.0,0.13601697328915907,0.14285124592926668,0.1457570378115512,0.13631550983040175
980.0,0.13518070789973344,0.14279362553100822,0.14185343173989434,0.13715532416726026
1000.0,0.13579184700120614,0.14169214570582542,0.14394987293535702,0.1382317252891603
1020.0,0.1363443210892839,0.14198228814733022,0.1436484938679198,0.13597994110636075
1040.0,0.13643531602346412,0.14067804855537275,0.14430380679998736,0.13775328222139654
1060.0,0.1366177337808991,0.13953186662494316,0.14275355244464788,0.13595807710097899
1080.0,0.13688949815717816,0.13998445005288698,0.14190945749199774,0.1379833289793739
1100.0,0.13722739924494876,0.14061719959294544,0.14236552974145986,0.13702224024937712
1120.0,0.1364471028420442,0.14052245121043114,0.14105728602803008,0.13682408686433195
1140.0,0.1369118566346629,0.1392506456505356,0.14219111211882327,0.13730828932827033
1160.0,0.13585214689296515,0.1402280088295589,0.1436718146917504,0.13657049432267815
1180.0,0.13666883232731722,0.13902281298893848,0.14149315521967912,0.13579469977579792
1200.0,0.1370333671377081,0.13902865731912198,0.1418673909739932,0.1358167718860015
1220.0,0.1347870496917894,0.136423969502104,0.14043595216102764,0.13521899362947826
1240.0,0.1360878065237626,0.13748551193657052,0.1424981557371812,0.13536250557580173
