epoch,Bleu4,bleus4_999999_na (3),bleus4_999999_na (4),bleus4_999999_na (5),bleus4_999999_na (6)
0.0,0.2289733857013412,0.2291888529741627,0.23624747784961425,0.2328375160642969,0.2303257357789483
20.0,0.2326898219927612,0.227850839321102,0.23725562201272835,0.2347141302786609,0.2340217750625293
40.0,0.23443647647443336,0.2353141310952105,0.2410709056701917,0.2373335333960876,0.2381603214768574
60.0,0.2400065506747165,0.23521668273433194,0.24291089871085306,0.2423085402919277,0.2390064863721634
80.0,0.2385532876975863,0.2365682439318369,0.2466159156215531,0.24223207556460455,0.2450879921158653
100.0,0.24481321905265985,0.24163150289968166,0.24869542271700826,0.2480941187074385,0.24634307424020666
120.0,0.2503381632976771,0.2460709435831463,0.2535900713984661,0.24979705355669996,0.24897878304203844
140.0,0.2513703254070649,0.248291972293636,0.2553816622670093,0.25308133786533865,0.25497199505090706
160.0,0.2538070852211881,0.2540524583665971,0.26030497088774274,0.2558228162618917,0.2563889488644459
180.0,0.2589817001603153,0.2559320269847866,0.26481783512236706,0.25790702289052936,0.2631670986989922
200.0,0.2641807059496929,0.25938157326465444,0.2697154001571943,0.2630754129795473,0.263249434003005
220.0,0.2670482585761649,0.2625112242282163,0.2712112048239282,0.2657873367456401,0.2689749954269886
240.0,0.273575494533191,0.2661816575378647,0.2721190720159749,0.2710412053228896,0.2736660949912628
260.0,0.2762200011380895,0.2703772949105073,0.2778100926703086,0.2717354183507691,0.27733739347092456
280.0,0.2774805858817476,0.2735138997662328,0.2827137978075177,0.2755836262467649,0.2815335476351553
300.0,0.2825671005157503,0.2778581686922985,0.2822122329871701,0.279705980520007,0.2823637097611808
320.0,0.2848439952471196,0.28146219302296915,0.2877393020353401,0.2819767612911521,0.2861518205984158
340.0,0.2897112428398287,0.28395875604047244,0.29065147360632143,0.2858656780946414,0.28971445563023296
360.0,0.2923919047896544,0.28659253983736593,0.2919350731475996,0.2893492251640053,0.29195598871004536
380.0,0.2988107849014399,0.2905552026492747,0.2942433879706242,0.294606757924033,0.29792421544844394
400.0,0.3016188126274763,0.2955539036014677,0.29733867097368816,0.2964911431326763,0.2987886546422017
420.0,0.30385478431158564,0.29641136916455424,0.3001988612390117,0.3009413180981829,0.3017824213232965
440.0,0.3070187589670766,0.2988789684358007,0.3020307121025967,0.3044569683814193,0.3047871272917516
460.0,0.30853426395251354,0.3033782031416686,0.3064320475820956,0.30955610221747554,0.3084017868513549
480.0,0.3121207278080239,0.3055002391224263,0.30903190515817475,0.31246048475192234,0.3121162084468362
500.0,0.3169148606428213,0.3094391728190077,0.3116601496953237,0.3144404037171096,0.31506591403474016
