epoch,Bleu2
0.0,0.7490680301023652
20.0,0.750697700977738
40.0,0.7542307890777169
60.0,0.7562020709774805
80.0,0.7603526431099166
100.0,0.7605622773901829
120.0,0.7627689527977458
140.0,0.7673399061898147
160.0,0.7686986614485194
180.0,0.772769447036378
200.0,0.773742474002715
220.0,0.7770980781611808
240.0,0.7785268756444486
260.0,0.7814923541913209
280.0,0.7841391499457383
300.0,0.7849183590208055
320.0,0.786303320076057
340.0,0.7865449944260623
360.0,0.789234760038361
380.0,0.7910754746823824
400.0,0.7921637272603749
420.0,0.7928300021942055
440.0,0.7938810951926243
460.0,0.7942011028649275
480.0,0.7957264504504123
500.0,0.796537658963179
520.0,0.7966645612573929
540.0,0.7988049551339145
560.0,0.7993314970414827
580.0,0.7996099565262303
600.0,0.8026497496621668
620.0,0.8015855722606441
640.0,0.8039811439993344
660.0,0.8046197295128216
680.0,0.8068477923831845
700.0,0.8069477383208851
720.0,0.8082125697173971
740.0,0.8095196064750723
760.0,0.810421463754231
780.0,0.8119158565817332
800.0,0.8145046408630908
820.0,0.815783397976795
840.0,0.8166382678461025
860.0,0.8192855593946722
880.0,0.8207758491392818
900.0,0.8205209018661296
920.0,0.8219126771470797
940.0,0.8236557727148627
960.0,0.824416213429196
980.0,0.8233174589744318
1000.0,0.8253929788825352
1020.0,0.8244795703132886
1040.0,0.8258267351248821
1060.0,0.8245446525936413
1080.0,0.8240997241940945
1100.0,0.8242777713505706
1120.0,0.8232088896038707
1140.0,0.8220051331111657
1160.0,0.8212373294365947
1180.0,0.8189647772250691
1200.0,0.8170823092240934
1220.0,0.8163894171688524
1240.0,0.8152000512555043
1260.0,0.8134399255904383
1280.0,0.8113270403991414
1300.0,0.809168461447136
1320.0,0.8069684459087499
1340.0,0.8057286612165802
1360.0,0.8039477069679929
1380.0,0.8025145672879699
1400.0,0.8009910428354262
1420.0,0.799847934962615
1440.0,0.7995220267608755
1460.0,0.8006404980268369
1480.0,0.7989857519229351
1500.0,0.7988480810476747
1520.0,0.7995389241480261
1540.0,0.8004302571054307
1560.0,0.7993609283110166
1580.0,0.8021654372034108
1600.0,0.8012154976385962
1620.0,0.8005763208564748
1640.0,0.7999247715887229
1660.0,0.8011558959470884
1680.0,0.8014030740980456
1700.0,0.8006930983922123
1720.0,0.8005518636498921
1740.0,0.8020361864863262
1760.0,0.8008080902362066
1780.0,0.8021954366807511
1800.0,0.8019513903743068
1820.0,0.8012051795218753
1840.0,0.8017724973109134
1860.0,0.801943632586812
1880.0,0.8034261436693776
1900.0,0.8024493654294493
1920.0,0.8016026500365351
1940.0,0.8007451074575108
1960.0,0.8020823327818044
1980.0,0.8023428094168285
