epochs, g_loss, nll-test,
1,-1.0,1.5817504,
11,-1.0,0.96613353,
21,-1.0,0.842748,
31,-1.0,0.794962,
41,-1.0,0.7758121,
51,-1.0,0.7659788,
61,-1.0,0.75219375,
71,-1.0,0.7393004,
81,-1.0,0.7347139,
91,-1.0,0.72789264,
101,-1.0,0.725062,
111,-1.0,0.72321486,
121,-1.0,0.7169452,
131,-1.0,0.7150822,
141,-1.0,0.713486,
epochs, g_loss, nll-test,
151,965.5001,0.7185695,
171,568.842,0.7971529,
191,255.63344,0.8578151,
211,356.99323,0.87806475,
231,375.85944,0.9053166,
251,379.02365,0.9374198,
271,283.71072,0.96490586,
291,78.48977,0.9841817,
311,83.363106,1.0276335,
331,210.24277,1.0412028,
351,249.68666,1.0896982,
371,66.90253,1.0914533,
391,150.75299,1.0999519,
411,24.069172,1.1015365,
431,43.192543,1.0794531,
451,32.74448,1.094063,
471,72.63638,1.0930222,
491,38.98594,1.1047702,
511,48.362778,1.1313833,
531,19.341455,1.1482803,
551,22.66996,1.1759199,
571,14.530865,1.1751988,
591,18.01889,1.1618422,
611,13.339451,1.1570994,
631,10.834532,1.1717132,
651,142.2186,1.18937,
671,17.271439,1.2096884,
691,18.481758,1.2156367,
711,29.325861,1.234015,
731,11.670086,1.2453614,
751,2.3373399,1.2605994,
771,6.100149,1.2711154,
791,58.158165,1.2760556,
811,12.183957,1.2784727,
831,14.335992,1.2842268,
851,11.247509,1.2857456,
871,13.264118,1.2797974,
891,16.566484,1.2717184,
911,6.1431503,1.2818966,
931,37.474586,1.2916172,
951,7.887594,1.2838846,
971,28.661732,1.2903986,
991,27.42699,1.3028774,
1011,18.718462,1.3210328,
1031,26.1277,1.3468157,
1051,14.176252,1.3810693,
1071,31.936996,1.3927969,
1091,5.9219503,1.3991016,
1111,15.067389,1.41413,
1131,3.6035213,1.4370745,
1150,3.2839556,1.4228048,
