epochs, g_loss, nll-test,
1,-1.0,1.5165421,
11,-1.0,0.9699294,
21,-1.0,0.8586035,
31,-1.0,0.8150053,
41,-1.0,0.79363513,
51,-1.0,0.7775406,
61,-1.0,0.76909006,
71,-1.0,0.75832653,
81,-1.0,0.7516399,
91,-1.0,0.744915,
101,-1.0,0.73731524,
111,-1.0,0.7340677,
121,-1.0,0.7364854,
131,-1.0,0.7313076,
141,-1.0,0.7269199,
epochs, g_loss, nll-test,
151,1230.9978,0.7349397,
171,155.9861,0.80707806,
191,211.17899,0.8558789,
211,262.94873,0.89251417,
231,231.03323,0.94019943,
251,147.77249,1.005787,
271,443.9723,0.9926784,
291,286.9627,1.0082465,
311,204.48523,1.0254259,
331,108.06401,1.0292448,
351,69.358536,1.0680392,
371,64.51079,1.1338682,
391,38.866955,1.1745371,
411,96.86995,1.2039713,
431,46.79761,1.1577047,
451,18.397425,1.1583331,
471,9.980603,1.1697448,
491,65.53714,1.1729853,
511,11.525268,1.1792935,
531,27.044327,1.2070531,
551,23.777021,1.2024817,
571,55.76392,1.2340043,
591,71.74547,1.2513504,
611,36.628117,1.2444063,
631,24.491451,1.2610804,
651,12.916163,1.2930881,
671,16.069263,1.3194385,
691,6.997216,1.3126191,
711,5.5177608,1.3276651,
731,12.997748,1.334607,
751,46.30729,1.3441416,
771,12.69528,1.3579956,
791,18.022984,1.3378447,
811,17.381735,1.3229012,
831,26.810972,1.3482249,
851,35.96939,1.3633773,
871,7.591226,1.3525956,
891,7.5652375,1.3616734,
911,20.815887,1.3520861,
931,4.8164635,1.3862653,
951,7.79991,1.3950616,
971,9.083604,1.3963958,
991,6.948877,1.3913809,
1011,11.417969,1.3997517,
1031,9.773475,1.410444,
1051,14.949313,1.3923708,
1071,18.980532,1.4255233,
1091,5.946491,1.4419014,
1111,11.019412,1.441097,
1131,6.1176057,1.4309378,
1150,4.088903,1.431251,
