epochs, g_loss, nll-test,
1,-1.0,1.5299021,
11,-1.0,0.9592692,
21,-1.0,0.83382946,
31,-1.0,0.7913834,
41,-1.0,0.7713971,
51,-1.0,0.75440824,
61,-1.0,0.7508549,
71,-1.0,0.7403895,
81,-1.0,0.73168576,
91,-1.0,0.7224812,
101,-1.0,0.719595,
111,-1.0,0.71421003,
121,-1.0,0.711734,
131,-1.0,0.7074582,
141,-1.0,0.70495945,
epochs, g_loss, nll-test,
151,460.0009,0.7080502,
171,723.32074,0.77826935,
191,360.14362,0.81231487,
211,374.7012,0.84951115,
231,200.95633,0.8825699,
251,339.30145,0.8955832,
271,154.73407,0.9146768,
291,221.39336,0.93200153,
311,193.6004,0.9636725,
331,42.674976,1.0724411,
351,37.65136,1.0797232,
371,45.177113,1.0903846,
391,150.95477,1.1042562,
411,75.24792,1.0461711,
431,32.05883,1.0535296,
451,13.826568,1.0730883,
471,109.6093,1.0621791,
491,37.17746,1.0894961,
511,26.65841,1.1154462,
531,32.718742,1.1114576,
551,33.32707,1.1174856,
571,39.41108,1.1324159,
591,31.10292,1.1422056,
611,36.437542,1.1348282,
631,11.60753,1.1623048,
651,24.146637,1.1865036,
671,33.43899,1.1789111,
691,5.3461957,1.1751407,
711,21.154348,1.2013768,
731,5.751595,1.1973825,
751,18.11425,1.1845576,
771,15.197719,1.2016454,
791,19.12209,1.2290035,
811,18.136974,1.237308,
831,7.052617,1.240306,
851,150.50647,1.2433301,
871,27.55323,1.2608579,
891,7.3700185,1.2640179,
911,8.758963,1.2579154,
931,12.589059,1.2683309,
951,24.669544,1.2788082,
971,10.532248,1.2974044,
991,12.207056,1.2963783,
1011,13.679012,1.2894793,
1031,4.442406,1.2880688,
1051,18.62142,1.2904105,
1071,13.511179,1.284728,
1091,7.1876407,1.29721,
1111,23.771435,1.2865072,
1131,0.6188042,1.3073273,
1150,18.276112,1.3251712,
