epoch,Bleu3,bleus3_999999_na (2),bleus3_999999_na (3),bleus3_999999_na (4),bleus3_999999_na (5),bleus3_999999_na (6),bleus3_999999_na (7),bleus3_999999_na (8)
0.0,0.4993071510724124,0.5059949368857616,0.4976224859133172,0.5179355288484722,0.5001439298603213,0.5056290870690032,0.4998360816745636,0.5043651006803629
20.0,0.49640024744743705,0.5077497653372802,0.5004276668192102,0.5166166321761092,0.5027675927183061,0.5105188555023824,0.5019630762056709,0.5055100810120914
40.0,0.5024680749360224,0.5130443656138416,0.5012323103132225,0.5220902738384492,0.5036160826749896,0.5046333519051488,0.5074297443487279,0.5097352141078516
60.0,0.5056831660004811,0.5114652176115239,0.4999666586135987,0.5232176135154867,0.5050766967132131,0.5053263242689748,0.5087899019252127,0.5083313408532947
80.0,0.5073682082166653,0.515918270194536,0.5069159680286182,0.52132011686075,0.5108808192254407,0.510594053874581,0.5069898655218156,0.510654397591386
100.0,0.5054734257796561,0.5131537076906911,0.5062263444621702,0.526963218469447,0.5126474058773881,0.5160886461696967,0.513445896092094,0.5100467235151344
120.0,0.5101848068206193,0.5166439538026413,0.5071796818552593,0.5284414960767911,0.5148791349485562,0.5166106450301512,0.5120233025946808,0.5142096253764149
140.0,0.508598790311113,0.5173009351906341,0.5094798097009428,0.5287526842791838,0.5123580022604508,0.5153561745457395,0.5114669703547982,0.518268927726251
160.0,0.5084308596684649,0.5217253890121842,0.5101548468458404,0.5274219432648679,0.5171404915271409,0.5187367727398308,0.5146728809158635,0.5184773342791825
180.0,0.5100663470484319,0.5214987852852155,0.5067666456844462,0.5268906264127176,0.5185535603548147,0.5214216485269823,0.5117093026262075,0.5171479332528803
200.0,0.5156632618041516,0.522656221234224,0.5159081077445536,0.532610854866625,0.5179177010845121,0.5171518957656339,0.5129349257584566,0.5186919103942744
220.0,0.5127954440576895,0.5232497058767788,0.5158980607142568,0.5300112198831007,0.517765427666201,0.5218009070301897,0.5151682169547954,0.5277490190095914
240.0,0.5183477550223226,0.5268427049996489,0.5172313456487934,0.5347462797709317,0.5239053045120751,0.5243502907060735,0.5171295227447673,0.528619216543691
260.0,0.5116620867233576,0.5279678590556239,0.517130484458206,0.5318574360201853,0.5254801723894149,0.5222999191737443,0.5209598547655953,0.5276875817664821
280.0,0.5209284937059383,0.5292416984534352,0.5182937565369867,0.5355081966041081,0.5258345258753189,0.5277832664413284,0.519415004250163,0.5269574174320021
300.0,0.5200306285638882,0.5287671632618274,0.515018996164953,0.5360727396408159,0.5242953677326714,0.5271269812900515,0.5167582899865762,0.5299069775837167
