1,1.526837
11,0.962112
21,0.8509799
31,0.81094813
41,0.7888921
51,0.7765368
61,0.7629957
71,0.7576476
81,0.75273925
91,0.7440433
101,0.7426927
111,0.7354033
121,0.72788393
131,0.7286835
141,0.72925687
151,0.7245954
171,0.7976787
191,0.86802965
211,0.91740066
231,0.95152813
251,0.957088
271,0.9792326
291,1.0191017
311,1.0373954
331,1.0596058
351,1.0748284
371,1.0988744
391,1.0937504
411,1.0916151
431,1.0971594
451,1.1206777
471,1.1187247
491,1.1203101
511,1.1336658
531,1.1562457
551,1.1790125
571,1.1842182
591,1.2076062
611,1.2338226
631,1.2349594
651,1.2537793
671,1.261128
691,1.2907652
711,1.2985458
731,1.2960943
751,1.3152415
771,1.3280913
791,1.332984
811,1.3431324
831,1.3563616
851,1.3730856
871,1.3632818
891,1.3528092
911,1.3493563
931,1.3577249
951,1.3897605
971,1.4198251
991,1.46152
1011,1.4517496
1031,1.4650549
1051,1.5011164
1071,1.5281132
1091,1.5066984
1111,1.4949613
1131,1.4938955
1150,1.4921577
