epoch, nll_gen, bleu2, bleu3, bleu4, bleu5
0, 3.3942, 0.3931, 0.1130, 0.0469, 0.0281
10, 2.4625, 0.7494, 0.4606, 0.2343, 0.1194
20, 2.3289, 0.7525, 0.4695, 0.2445, 0.1237
30, 2.2785, 0.7454, 0.4594, 0.2325, 0.1161
40, 2.2539, 0.7544, 0.4758, 0.2484, 0.1284
50, 2.2280, 0.7456, 0.4493, 0.2168, 0.1086
60, 2.2200, 0.7396, 0.4523, 0.2214, 0.1096
70, 2.2146, 0.7352, 0.4454, 0.2224, 0.1141
80, 2.2043, 0.7518, 0.4683, 0.2439, 0.1255
90, 2.1963, 0.7520, 0.4634, 0.2254, 0.1139
100, 2.1897, 0.7464, 0.4729, 0.2421, 0.1215
110, 2.1932, 0.7499, 0.4584, 0.2373, 0.1214
120, 2.1825, 0.7629, 0.4809, 0.2386, 0.1185
130, 2.1795, 0.7403, 0.4601, 0.2307, 0.1166
140, 2.1789, 0.7478, 0.4671, 0.2334, 0.1174
0, 2.1737, 0.7513, 0.4678, 0.2482, 0.1255
20, 2.1730, 0.7439, 0.4582, 0.2254, 0.1133
40, 2.1727, 0.7620, 0.4689, 0.2264, 0.1144
60, 2.1732, 0.7531, 0.4677, 0.2430, 0.1260
80, 2.1740, 0.7582, 0.4780, 0.2522, 0.1311
100, 2.1756, 0.7625, 0.4814, 0.2475, 0.1287
120, 2.1773, 0.7712, 0.4920, 0.2600, 0.1324
140, 2.1784, 0.7661, 0.4859, 0.2451, 0.1226
160, 2.1784, 0.7858, 0.5097, 0.2664, 0.1364
180, 2.1776, 0.7837, 0.5118, 0.2744, 0.1430
200, 2.1770, 0.7755, 0.4966, 0.2558, 0.1283
220, 2.1765, 0.7735, 0.5002, 0.2652, 0.1287
240, 2.1768, 0.7764, 0.5124, 0.2761, 0.1395
260, 2.1775, 0.7568, 0.4917, 0.2667, 0.1395
280, 2.1790, 0.7826, 0.5284, 0.3008, 0.1525
300, 2.1814, 0.7766, 0.5118, 0.2819, 0.1479
320, 2.1842, 0.7810, 0.5199, 0.2735, 0.1452
340, 2.1870, 0.7685, 0.5093, 0.2780, 0.1472
360, 2.1906, 0.7724, 0.5272, 0.2956, 0.1534
380, 2.1945, 0.7592, 0.4917, 0.2731, 0.1446
400, 2.1983, 0.7544, 0.4982, 0.2718, 0.1440
420, 2.2016, 0.7581, 0.4988, 0.2613, 0.1331
440, 2.2050, 0.7660, 0.5117, 0.2840, 0.1464
460, 2.2078, 0.7547, 0.5050, 0.2874, 0.1557
480, 2.2103, 0.7400, 0.4908, 0.2629, 0.1382
500, 2.2133, 0.7360, 0.4861, 0.2658, 0.1350
520, 2.2162, 0.7655, 0.5237, 0.3062, 0.1624
540, 2.2185, 0.7732, 0.5289, 0.3030, 0.1616
560, 2.2211, 0.7280, 0.4844, 0.2649, 0.1419
580, 2.2236, 0.7268, 0.4956, 0.2804, 0.1482
600, 2.2240, 0.7445, 0.4978, 0.2770, 0.1496
620, 2.2246, 0.7207, 0.4856, 0.2749, 0.1458
640, 2.2256, 0.7385, 0.4927, 0.2688, 0.1445
660, 2.2254, 0.7465, 0.4965, 0.2704, 0.1421
680, 2.2244, 0.7254, 0.4854, 0.2727, 0.1465
700, 2.2233, 0.7370, 0.4994, 0.2827, 0.1516
720, 2.2231, 0.7282, 0.4910, 0.2764, 0.1512
740, 2.2220, 0.7445, 0.5014, 0.2855, 0.1542
760, 2.2199, 0.7323, 0.4834, 0.2724, 0.1442
780, 2.2183, 0.7349, 0.4946, 0.2815, 0.1500
800, 2.2163, 0.7378, 0.4914, 0.2751, 0.1483
820, 2.2131, 0.7458, 0.5039, 0.2887, 0.1543
840, 2.2105, 0.7465, 0.4947, 0.2726, 0.1388
860, 2.2081, 0.7533, 0.5057, 0.2771, 0.1462
880, 2.2047, 0.7335, 0.4916, 0.2812, 0.1531
900, 2.2026, 0.7407, 0.4809, 0.2613, 0.1392
920, 2.2009, 0.7624, 0.5071, 0.2827, 0.1536
940, 2.1990, 0.7558, 0.5000, 0.2802, 0.1511
960, 2.1967, 0.7417, 0.4783, 0.2486, 0.1325
980, 2.1949, 0.7564, 0.4855, 0.2592, 0.1350
1000, 2.1921, 0.7474, 0.4926, 0.2716, 0.1444
1020, 2.1904, 0.7534, 0.5085, 0.2829, 0.1555
1040, 2.1886, 0.7505, 0.4945, 0.2654, 0.1376
1060, 2.1863, 0.7623, 0.5143, 0.2916, 0.1551
1080, 2.1840, 0.7503, 0.4889, 0.2670, 0.1437
1100, 2.1826, 0.7633, 0.5035, 0.2759, 0.1480
1120, 2.1811, 0.7555, 0.4885, 0.2530, 0.1312
1140, 2.1792, 0.7639, 0.4931, 0.2520, 0.1313
1160, 2.1775, 0.7636, 0.5013, 0.2757, 0.1476
1180, 2.1763, 0.7693, 0.5119, 0.2881, 0.1526
1200, 2.1755, 0.7578, 0.4825, 0.2571, 0.1338
1220, 2.1748, 0.7836, 0.5174, 0.2845, 0.1526
1240, 2.1743, 0.7640, 0.5043, 0.2795, 0.1495
1260, 2.1738, 0.7598, 0.4879, 0.2548, 0.1335
1280, 2.1734, 0.7664, 0.5005, 0.2704, 0.1452
1300, 2.1730, 0.7563, 0.5085, 0.2865, 0.1520
1320, 2.1725, 0.7662, 0.4870, 0.2561, 0.1341
1340, 2.1720, 0.7510, 0.4916, 0.2726, 0.1425
1360, 2.1718, 0.7595, 0.4894, 0.2615, 0.1360
1380, 2.1715, 0.7617, 0.4828, 0.2519, 0.1272
1400, 2.1708, 0.7704, 0.5104, 0.2754, 0.1457
1420, 2.1705, 0.7675, 0.5029, 0.2816, 0.1533
1440, 2.1704, 0.7489, 0.4799, 0.2601, 0.1390
1460, 2.1701, 0.7604, 0.4883, 0.2588, 0.1366
1480, 2.1698, 0.7748, 0.5002, 0.2749, 0.1403
1500, 2.1696, 0.7638, 0.4769, 0.2378, 0.1236
1520, 2.1693, 0.7714, 0.5079, 0.2729, 0.1471
1540, 2.1691, 0.7788, 0.5109, 0.2717, 0.1439
1560, 2.1688, 0.7584, 0.4782, 0.2521, 0.1281
1580, 2.1687, 0.7683, 0.4955, 0.2680, 0.1377
1600, 2.1686, 0.7658, 0.4925, 0.2622, 0.1385
1620, 2.1686, 0.7673, 0.5016, 0.2731, 0.1414
1640, 2.1685, 0.7566, 0.4801, 0.2594, 0.1341
1660, 2.1682, 0.7693, 0.4939, 0.2556, 0.1315
1680, 2.1681, 0.7588, 0.4906, 0.2652, 0.1390
1700, 2.1680, 0.7798, 0.5139, 0.2855, 0.1501
1720, 2.1679, 0.7688, 0.4947, 0.2609, 0.1332
1740, 2.1678, 0.7643, 0.4831, 0.2507, 0.1306
1760, 2.1677, 0.7541, 0.4907, 0.2672, 0.1392
