epoch, nll_gen, bleu2, bleu3, bleu4, bleu5
0, 3.4030, 0.4304, 0.1344, 0.0528, 0.0304
10, 2.4858, 0.7095, 0.4414, 0.2327, 0.1195
20, 2.3463, 0.7298, 0.4483, 0.2292, 0.1141
30, 2.2919, 0.7202, 0.4345, 0.2172, 0.1108
40, 2.2521, 0.7379, 0.4592, 0.2368, 0.1182
50, 2.2476, 0.7453, 0.4704, 0.2374, 0.1208
60, 2.2175, 0.7347, 0.4584, 0.2413, 0.1223
70, 2.2079, 0.7447, 0.4705, 0.2401, 0.1244
80, 2.2119, 0.7324, 0.4422, 0.2082, 0.1027
90, 2.1943, 0.7432, 0.4578, 0.2326, 0.1171
100, 2.1867, 0.7451, 0.4640, 0.2419, 0.1245
110, 2.1845, 0.7368, 0.4591, 0.2407, 0.1254
120, 2.1840, 0.7316, 0.4513, 0.2327, 0.1180
130, 2.1887, 0.7486, 0.4630, 0.2372, 0.1232
140, 2.1815, 0.7378, 0.4546, 0.2262, 0.1134
0, 2.1755, 0.7253, 0.4450, 0.2213, 0.1099
20, 2.1738, 0.7270, 0.4554, 0.2293, 0.1141
40, 2.1734, 0.7474, 0.4663, 0.2406, 0.1218
60, 2.1743, 0.7624, 0.4850, 0.2405, 0.1155
80, 2.1761, 0.7627, 0.4844, 0.2499, 0.1248
100, 2.1778, 0.7596, 0.4756, 0.2412, 0.1214
120, 2.1783, 0.7713, 0.4925, 0.2596, 0.1263
140, 2.1777, 0.7594, 0.4903, 0.2556, 0.1283
160, 2.1758, 0.7781, 0.5053, 0.2768, 0.1399
180, 2.1740, 0.7696, 0.5065, 0.2719, 0.1360
200, 2.1731, 0.7777, 0.5109, 0.2800, 0.1455
220, 2.1738, 0.7654, 0.5112, 0.2793, 0.1395
240, 2.1754, 0.7579, 0.4961, 0.2730, 0.1444
260, 2.1781, 0.7580, 0.4968, 0.2745, 0.1437
280, 2.1812, 0.7575, 0.5001, 0.2710, 0.1412
300, 2.1855, 0.7746, 0.5286, 0.2965, 0.1538
320, 2.1906, 0.7643, 0.5085, 0.2819, 0.1468
340, 2.1959, 0.7577, 0.4945, 0.2628, 0.1363
360, 2.2007, 0.7465, 0.4898, 0.2602, 0.1397
380, 2.2053, 0.7515, 0.5050, 0.2851, 0.1547
400, 2.2086, 0.7262, 0.4761, 0.2630, 0.1344
420, 2.2118, 0.7289, 0.4911, 0.2699, 0.1397
440, 2.2151, 0.7281, 0.4918, 0.2695, 0.1443
460, 2.2174, 0.7427, 0.5072, 0.2891, 0.1564
480, 2.2183, 0.7446, 0.4928, 0.2642, 0.1455
500, 2.2187, 0.7332, 0.4928, 0.2711, 0.1442
520, 2.2197, 0.7258, 0.4859, 0.2700, 0.1488
540, 2.2198, 0.7383, 0.5000, 0.2841, 0.1557
560, 2.2181, 0.7315, 0.4922, 0.2752, 0.1502
580, 2.2153, 0.7208, 0.4807, 0.2708, 0.1460
600, 2.2136, 0.7115, 0.4690, 0.2580, 0.1410
620, 2.2126, 0.7235, 0.4840, 0.2741, 0.1453
640, 2.2116, 0.7327, 0.4939, 0.2808, 0.1463
660, 2.2089, 0.7317, 0.4871, 0.2730, 0.1463
680, 2.2067, 0.7332, 0.4920, 0.2734, 0.1523
700, 2.2038, 0.7187, 0.4711, 0.2607, 0.1414
720, 2.1999, 0.7509, 0.5081, 0.2841, 0.1550
740, 2.1975, 0.7448, 0.4983, 0.2836, 0.1554
760, 2.1951, 0.7177, 0.4724, 0.2557, 0.1346
780, 2.1922, 0.7621, 0.5081, 0.2841, 0.1468
800, 2.1896, 0.7584, 0.5118, 0.2793, 0.1462
820, 2.1884, 0.7493, 0.5055, 0.2893, 0.1567
840, 2.1870, 0.7488, 0.5054, 0.2822, 0.1524
860, 2.1853, 0.7551, 0.4996, 0.2744, 0.1455
880, 2.1841, 0.7434, 0.4935, 0.2726, 0.1404
900, 2.1833, 0.7426, 0.4935, 0.2660, 0.1406
920, 2.1825, 0.7502, 0.4842, 0.2501, 0.1297
940, 2.1810, 0.7335, 0.4849, 0.2799, 0.1530
960, 2.1796, 0.7429, 0.4874, 0.2675, 0.1429
