epoch, nll_gen, bleu2, bleu3, bleu4, bleu5
0, 3.3429, 0.3793, 0.1247, 0.0497, 0.0288
10, 2.4663, 0.7326, 0.4481, 0.2275, 0.1160
20, 2.3331, 0.7566, 0.4656, 0.2345, 0.1163
30, 2.2764, 0.7515, 0.4605, 0.2295, 0.1167
40, 2.2481, 0.7340, 0.4536, 0.2298, 0.1158
50, 2.2272, 0.7371, 0.4487, 0.2231, 0.1114
60, 2.2276, 0.7348, 0.4538, 0.2330, 0.1211
70, 2.2069, 0.7513, 0.4694, 0.2301, 0.1142
80, 2.2014, 0.7215, 0.4497, 0.2250, 0.1180
90, 2.1999, 0.7144, 0.4416, 0.2254, 0.1095
100, 2.1910, 0.7415, 0.4486, 0.2161, 0.1095
110, 2.1849, 0.7242, 0.4474, 0.2309, 0.1175
120, 2.1799, 0.7456, 0.4662, 0.2374, 0.1218
130, 2.1746, 0.7490, 0.4772, 0.2527, 0.1308
140, 2.1747, 0.7470, 0.4602, 0.2284, 0.1146
0, 2.1742, 0.7210, 0.4355, 0.2178, 0.1062
20, 2.1732, 0.7374, 0.4549, 0.2363, 0.1189
40, 2.1725, 0.7600, 0.4698, 0.2336, 0.1185
60, 2.1725, 0.7457, 0.4668, 0.2443, 0.1212
80, 2.1730, 0.7588, 0.4793, 0.2524, 0.1280
100, 2.1741, 0.7531, 0.4816, 0.2524, 0.1271
120, 2.1756, 0.7571, 0.4818, 0.2513, 0.1262
140, 2.1770, 0.7673, 0.4962, 0.2689, 0.1367
160, 2.1780, 0.7601, 0.4817, 0.2506, 0.1219
180, 2.1787, 0.7585, 0.4921, 0.2619, 0.1407
200, 2.1791, 0.7744, 0.5022, 0.2618, 0.1358
220, 2.1791, 0.7665, 0.4985, 0.2777, 0.1486
240, 2.1796, 0.7584, 0.4892, 0.2492, 0.1296
260, 2.1808, 0.7821, 0.5200, 0.2835, 0.1493
280, 2.1827, 0.7668, 0.5044, 0.2802, 0.1458
300, 2.1850, 0.7627, 0.5018, 0.2701, 0.1446
320, 2.1879, 0.7721, 0.5129, 0.2799, 0.1487
340, 2.1911, 0.7546, 0.5047, 0.2799, 0.1436
360, 2.1943, 0.7389, 0.4923, 0.2741, 0.1473
380, 2.1976, 0.7387, 0.4867, 0.2720, 0.1440
400, 2.2019, 0.7518, 0.4987, 0.2729, 0.1412
420, 2.2062, 0.7216, 0.4714, 0.2565, 0.1352
440, 2.2100, 0.7093, 0.4662, 0.2561, 0.1294
460, 2.2134, 0.7222, 0.4817, 0.2706, 0.1408
480, 2.2160, 0.7283, 0.4826, 0.2720, 0.1482
500, 2.2190, 0.7104, 0.4687, 0.2559, 0.1318
520, 2.2216, 0.7036, 0.4744, 0.2685, 0.1454
540, 2.2237, 0.7212, 0.4917, 0.2712, 0.1455
560, 2.2249, 0.7116, 0.4770, 0.2699, 0.1471
580, 2.2254, 0.7018, 0.4721, 0.2682, 0.1416
600, 2.2260, 0.7021, 0.4604, 0.2555, 0.1372
620, 2.2261, 0.6804, 0.4537, 0.2539, 0.1352
640, 2.2264, 0.7076, 0.4747, 0.2672, 0.1422
660, 2.2261, 0.7080, 0.4645, 0.2542, 0.1323
680, 2.2262, 0.6917, 0.4623, 0.2564, 0.1385
700, 2.2252, 0.7026, 0.4655, 0.2586, 0.1389
720, 2.2237, 0.7122, 0.4699, 0.2651, 0.1403
740, 2.2221, 0.7135, 0.4804, 0.2689, 0.1435
760, 2.2197, 0.7014, 0.4565, 0.2530, 0.1395
780, 2.2179, 0.6887, 0.4592, 0.2623, 0.1411
800, 2.2157, 0.6944, 0.4632, 0.2664, 0.1471
820, 2.2141, 0.6889, 0.4476, 0.2358, 0.1281
840, 2.2117, 0.7132, 0.4759, 0.2677, 0.1480
860, 2.2089, 0.7098, 0.4638, 0.2609, 0.1442
880, 2.2059, 0.7250, 0.4640, 0.2576, 0.1389
900, 2.2026, 0.7127, 0.4720, 0.2647, 0.1435
920, 2.2002, 0.7180, 0.4611, 0.2499, 0.1312
940, 2.1978, 0.7368, 0.4819, 0.2629, 0.1436
960, 2.1957, 0.7317, 0.4796, 0.2600, 0.1354
980, 2.1934, 0.7360, 0.4788, 0.2616, 0.1410
1000, 2.1912, 0.7209, 0.4737, 0.2624, 0.1380
1020, 2.1892, 0.7368, 0.4847, 0.2601, 0.1389
1040, 2.1879, 0.7502, 0.4901, 0.2608, 0.1354
1060, 2.1864, 0.7190, 0.4767, 0.2662, 0.1388
1080, 2.1848, 0.7237, 0.4669, 0.2535, 0.1355
1100, 2.1836, 0.7460, 0.4993, 0.2815, 0.1474
1120, 2.1830, 0.7385, 0.4801, 0.2581, 0.1388
1140, 2.1819, 0.7313, 0.4694, 0.2511, 0.1325
