epoch,Bleu3,bleus3_999999 (2),bleus3_999999 (4),bleus3_999999 (5)
0.0,0.4968380128405094,0.503699930011284,0.5050384719765901,0.4979089157262212
20.0,0.4964343765274555,0.5079171602018814,0.5013681296568436,0.501146297119435
40.0,0.5009076949117718,0.51656973906533,0.511174181090552,0.5048738994989419
60.0,0.5073674237797162,0.5180263719237927,0.5159865881972701,0.5105911669924267
80.0,0.510684709989125,0.519486088154501,0.5166532996168693,0.513153883559301
100.0,0.5107849848905887,0.5241296213089378,0.5179008995369111,0.5100000422712541
120.0,0.5158223792411482,0.5300592802639668,0.5192547367028129,0.5154393412548203
140.0,0.5166457749408201,0.5356877879078649,0.5263669199844876,0.5162620696074394
160.0,0.5205589912358118,0.5317090778056892,0.5270009567758023,0.520710844088273
180.0,0.530182871738434,0.5384480538693008,0.5268059333255828,0.5252713483875029
200.0,0.5266152568733364,0.5402816676820533,0.5338409796090231,0.5275644787168734
220.0,0.5283917220759892,0.5374518447139273,0.5332482923758174,0.5230754802711975
240.0,0.5374292363327137,0.5415494139759027,0.5389935822832398,0.5287856581160397
260.0,0.5309475143230922,0.5425852310113115,0.5422478485390092,0.5283833727825632
280.0,0.5383438990631694,0.5411995424777615,0.5395569456238368,0.5345631342168138
300.0,0.5387941892871481,0.5451125044374079,0.5399481203962662,0.53568343663837
320.0,0.5459903418287371,0.547102813980166,0.5414232327819608,0.5350512813287072
340.0,0.5440556252697016,0.54647547122423,0.5461224645689587,0.5342943983143618
360.0,0.5444780519378636,0.5543946612347351,0.5420277142253164,0.5374716008025225
380.0,0.5452860173901276,0.5515271633218022,0.543519799561041,0.5357009864214987
400.0,0.5489208714467086,0.5480953775132517,0.5445916829293195,0.537281871823455
420.0,0.5492508800748709,0.5462133711545665,0.5441141245524737,0.5396838484326971
440.0,0.5467354356556717,0.5501172909373961,0.5446555185054641,0.5394882537601529
460.0,0.5508798756217365,0.5510331030632353,0.5478860498591039,0.5406975625311724
480.0,0.5524719025760078,0.5488444280475585,0.5456740805893086,0.5396431396312101
500.0,0.5507228211933873,0.5505769739547154,0.5534803960670878,0.5399474100201465
520.0,0.5501274025230968,0.5526681625901333,0.5533473987356621,0.5387459014373978
540.0,0.552106664027353,0.5533552127116186,0.5505848766010414,0.5432425992209885
560.0,0.5498629230654829,0.5515448091266186,0.5536531249478751,0.5423568749742582
580.0,0.5524450517522673,0.5545867537794295,0.5502984602698554,0.5381151096979614
600.0,0.5530985779404229,0.5504011726364096,0.5500679402981982,0.5411403997009699
620.0,0.5524938877849807,0.5552894701951627,0.5548629987689134,0.5420511952972458
640.0,0.5523446184156574,0.5555063469807298,0.5458911006634427,0.5381147111743314
660.0,0.5485406474087247,0.5503327494842821,0.5509680710361667,0.5395643193534106
680.0,0.546800898491568,0.5567423217848866,0.5462032387911622,0.5393489600928226
700.0,0.5519661687672798,0.5535200186724883,0.5502252568272549,0.5356877272996332
